state,state1,zip,provider,DOB,uri,planname,quote_P,apply_P,ECD_P,confirm_P,toDays
Alabama,AL,35215,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Alaska,AK,99504,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Arkansas,AR,72209,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Arizona,AZ,85364,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
California,CA,90011,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Colorado,CO,80219,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Connecticut,CT,6606,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Delaware,DE,19805,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
District Of Columbia,DC,20015,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Florida,FL,33186,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Georgia,GA,30044,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Hawaii,HI,96818,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Iowa,IA,50317,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Idaho,ID,83709,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Illinois,IL,60629,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Indiana,IN,46227,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Kansas,KS,66062,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Kentucky,KY,40214,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Louisiana,LA,70816,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Massachusetts,MA,2128,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Maryland,MD,21215,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Maine,ME,4401,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Michigan,MI,48228,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Minnesota,MN,55106,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Missouri,MO,63129,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Mississippi,MS,39503,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Montana,MT,59102,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
North Carolina,NC,28269,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
North Dakota,ND,58103,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Nebraska,NE,68104,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
New Hampshire,NH,3103,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
New Jersey,NJ,8701,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
New Mexico,NM,87121,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Nevada,NV,89110,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
New York,NY,11226,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Ohio,OH,43228,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Oklahoma,OK,73160,HCC Advantage,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
