"state","zipcode","carrierid","uri","AutoEmail","status","productId"
"##AL","35215","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##AK","99504","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##AR","72209","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##AZ","85364","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##CA","90011","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##CO","80219","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"CT","06606","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##DE","19805","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##DC","20015","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##FL","33186","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##GA","30044","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##HI","96818","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##IA","50317","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##ID","83709","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##IL","60629","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##IN","46227","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##KS","66062","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##KY","40214","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##LA","70816","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##MA","02128","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##MD","21215","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##ME","04401","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##MI","48228","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##MN","55106","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##MO","63129","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##MS","39503","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##MT","59102","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##NC","28269","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##ND","58103","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##NE","68104","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##NH","03103","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##NJ","08701","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##NM","87121","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##NV","89110","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##NY","11226","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##OH","43228","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##OK","73160","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##OR","97229","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##PA","19120","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##RI","02909","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##SC","29223","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##SD","57106","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##TN","37230","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##TX","79936","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##UT","84120","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##VA","23464","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##VT","05401","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##WA","98115","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##WI","53215","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##WV","25302","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
"##WY","82001","Legion Limited Medical","${uri}","${AutoEmail}","${status}","Plan 4"
