"provider","state","planid","QA_Apply_page_rate","QA_duration","testprod_Apply_page_rate","Prod_duration","trendFactor","zipcode","Primary_dob","Primary_gender"
"##LifeShield","al","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","35215","1/1/1980","F"
"##LifeShield","ak","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","99504","1/1/1980","F"
"##LifeShield","ar","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","72209","1/1/1980","F"
"##LifeShield","az","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","85364","1/1/1980","F"
"##LifeShield","ca","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","90011","1/1/1980","F"
"##LifeShield","co","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","80219","1/1/1980","F"
"##LifeShield","ct","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","6606","1/1/1980","F"
"##LifeShield","de","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","19805","1/1/1980","F"
"##LifeShield","dc","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","20015","1/1/1980","F"
"LifeShield","fl","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","33186","1/1/1980","F"
