"state","state1","zip","provider","DOB","uri","planname","quote_P","apply_P","ECD_P","confirm_P","toDays"
"Alabama","AL","35215","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Alaska","AK","99504","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Arkansas","AR","72209","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Arizona","AZ","85364","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"California","CA","90011","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Colorado","CO","80219","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Connecticut","CT","06606","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Delaware","DE","19805","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"District Of Columbia","DC","20015","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Florida","FL","33186","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Georgia","GA","30044","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Hawaii","HI","96818","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Iowa","IA","50317","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Idaho","ID","83709","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Illinois","IL","60629","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Indiana","IN","46227","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Kansas","KS","66062","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Kentucky","KY","40214","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Louisiana","LA","70816","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Massachusetts","MA","02128","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Maryland","MD","21215","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Maine","ME","04401","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Michigan","MI","48228","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Minnesota","MN","55106","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Missouri","MO","63129","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Mississippi","MS","39503","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Montana","MT","59102","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"North Carolina","NC","28269","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"North Dakota","ND","58103","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Nebraska","NE","68104","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"New Hampshire","NH","03103","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"New Jersey","NJ","08701","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"New Mexico","NM","87121","HCC Flexible","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
