state,state1,zip,provider,DOB,uri,planname,quote_P,apply_P,ECD_P,confirm_P,toDays
Alabama,AL,35215,Tokio Marine HCC,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Alaska,AK,99504,Tokio Marine HCC,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Arkansas,AR,72209,Tokio Marine HCC,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Arizona,AZ,85364,Tokio Marine HCC,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
California,CA,90011,Tokio Marine HCC,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Colorado,CO,80219,Tokio Marine HCC,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Connecticut,CT,6606,Tokio Marine HCC,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Delaware,DE,19805,Tokio Marine HCC,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
District Of Columbia,DC,20015,Tokio Marine HCC,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Florida,FL,33186,Tokio Marine HCC,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Georgia,GA,30044,Tokio Marine HCC,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Hawaii,HI,96818,Tokio Marine HCC,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Iowa,IA,50317,Tokio Marine HCC,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Idaho,ID,83709,Tokio Marine HCC,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Illinois,IL,60629,Tokio Marine HCC,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Indiana,IN,46227,Tokio Marine HCC,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Kansas,KS,66062,Tokio Marine HCC,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Kentucky,KY,40214,Tokio Marine HCC,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Louisiana,LA,70816,Tokio Marine HCC,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Massachusetts,MA,2128,Tokio Marine HCC,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Maryland,MD,21215,Tokio Marine HCC,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Maine,ME,4401,Tokio Marine HCC,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Michigan,MI,48228,Tokio Marine HCC,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Minnesota,MN,55106,Tokio Marine HCC,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Missouri,MO,63129,Tokio Marine HCC,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Mississippi,MS,39503,Tokio Marine HCC,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Montana,MT,59102,Tokio Marine HCC,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
North Carolina,NC,28269,Tokio Marine HCC,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
North Dakota,ND,58103,Tokio Marine HCC,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Nebraska,NE,68104,Tokio Marine HCC,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
New Hampshire,NH,3103,Tokio Marine HCC,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
New Jersey,NJ,8701,Tokio Marine HCC,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
New Mexico,NM,87121,Tokio Marine HCC,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Nevada,NV,89110,Tokio Marine HCC,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
