"state","state1","zipcode","defaultProductline","stmavailability","hbiavailability"
"Alabama","AL","35215","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##Alaska","AK","99504","${defaultProductline}","${stmavailability}","${hbiavailability}"
"Arkansas","AR","72209","${defaultProductline}","${stmavailability}","${hbiavailability}"
"Arizona","AZ","85364","${defaultProductline}","${stmavailability}","${hbiavailability}"
"California","CA","90011","${defaultProductline}","${stmavailability}","${hbiavailability}"
"Colorado","CO","80219","${defaultProductline}","${stmavailability}","${hbiavailability}"
"Connecticut","CT","06606","${defaultProductline}","${stmavailability}","${hbiavailability}"
"Delaware","DE","19805","${defaultProductline}","${stmavailability}","${hbiavailability}"
"District Of Columbia","DC","20015","${defaultProductline}","${stmavailability}","${hbiavailability}"
"Florida","FL","33186","${defaultProductline}","${stmavailability}","${hbiavailability}"
"Georgia","GA","30044","${defaultProductline}","${stmavailability}","${hbiavailability}"
"Hawaii","HI","96818","${defaultProductline}","${stmavailability}","${hbiavailability}"
"Iowa","IA","50317","${defaultProductline}","${stmavailability}","${hbiavailability}"
"Idaho","ID","83709","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##Illinois","IL","60629","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##Indiana","IN","46227","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##Kansas","KS","66062","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##Kentucky","KY","40214","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##Louisiana","LA","70816","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##Massachusetts","MA","02128","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##Maryland","MD","21215","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##Maine","ME","04401","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##Michigan","MI","48228","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##Minnesota","MN","55106","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##Missouri","MO","63129","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##Mississippi","MS","39503","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##Montana","MT","59102","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##North Carolina","NC","28269","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##North Dakota","ND","58103","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##Nebraska","NE","68104","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##New Hampshire","NH","03103","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##New Jersey","NJ","08701","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##New Mexico","NM","87121","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##Nevada","NV","89110","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##New York","NY","11226","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##Ohio","OH","43228","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##Oklahoma","OK","73160","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##Oregon","OR","97229","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##Pennsylvania","PA","19120","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##Rhode Island","RI","02909","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##South Carolina","SC","29223","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##South Dakota","SD","57106","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##Tennessee","TN","37013","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##Texas","TX","79936","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##Utah","UT","84120","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##Virginia","VA","23464","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##Vermont","VT","05401","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##Washington","WA","98115","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##Wisconsin","WI","53215","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##West Virginia","WV","25302","${defaultProductline}","${stmavailability}","${hbiavailability}"
"##Wyoming","WY","82001","${defaultProductline}","${stmavailability}","${hbiavailability}"
