"state","state1","zip","provider","DOB","uri","planname","quote_P","apply_P","ECD_P","confirm_P","toDays"
"Alabama","AL","35215","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Alaska","AK","99504","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Arkansas","AR","72209","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Arizona","AZ","85364","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"California","CA","90011","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Colorado","CO","80219","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Connecticut","CT","06606","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Delaware","DE","19805","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"District Of Columbia","DC","20015","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Florida","FL","33186","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Georgia","GA","30044","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Hawaii","HI","96818","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Iowa","IA","50317","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Idaho","ID","83709","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Illinois","IL","60629","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Indiana","IN","46227","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
"Kansas","KS","66062","Unified Premier","03/06/1985","${uri}","${planname}","${quote_P}","${apply_P}","${ECD_P}","${confirm_P}","${toDays}"
