state,state1,zip,provider,DOB,uri,planname,quote_P,apply_P,ECD_P,confirm_P,toDays
Alabama,AL,35215,UnitedHealthOne,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Alaska,AK,99504,UnitedHealthOne,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Arkansas,AR,72209,UnitedHealthOne,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Arizona,AZ,85364,UnitedHealthOne,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
California,CA,90011,UnitedHealthOne,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Colorado,CO,80219,UnitedHealthOne,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Connecticut,CT,6606,UnitedHealthOne,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Delaware,DE,19805,UnitedHealthOne,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
District Of Columbia,DC,20015,UnitedHealthOne,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Florida,FL,33186,UnitedHealthOne,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Georgia,GA,30044,UnitedHealthOne,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Hawaii,HI,96818,UnitedHealthOne,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Iowa,IA,50317,UnitedHealthOne,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Idaho,ID,83709,UnitedHealthOne,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Illinois,IL,60629,UnitedHealthOne,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
Indiana,IN,46227,UnitedHealthOne,03/06/1985,${uri},${planname},${quote_P},${apply_P},${ECD_P},${confirm_P},${toDays}
