"provider","Plan_name","quote_testprod_rate","quote_QA_rate","QA_Apply_page_rate","testprod_Apply_page_rate","state","zipcode","Primary_dob","Primary_gender","Spouse_dob","Spouse_gender","Spouse","Spouse_enable","Child_dob","Child_gender","Child","Child_enable"
"LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","CO","80219","1980/1/1","F","","","","","","","",""
"LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","CO","80219","1980/1/1","F","1980/1/1","M","S","1","","","",""
"LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","CO","80219","1980/1/1","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","CO","80219","1980/1/1","F","","","","","2000/1/1","M","C","2"
"LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","CO","80219","1980/1/1","F","","","","","1997/1/1","M","C","2"
"LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","DE","19805","1980/1/1","F","","","","","","","",""
"LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","DE","19805","1980/1/1","F","1980/1/1","M","S","1","","","",""
"LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","DE","19805","1980/1/1","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","DE","19805","1980/1/1","F","","","","","2000/1/1","M","C","2"
"LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","DE","19805","1980/1/1","F","","","","","1997/1/1","M","C","2"
"LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","DC","20015","1980/1/1","F","","","","","","","",""
"LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","DC","20015","1980/1/1","F","1980/1/1","M","S","1","","","",""
"LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","DC","20015","1980/1/1","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","DC","20015","1980/1/1","F","","","","","2000/1/1","M","C","2"
"LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","DC","20015","1980/1/1","F","","","","","1997/1/1","M","C","2"
"##LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","ID","83709","1980/1/1","F","","","","","","","",""
"##LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","ID","83709","1980/1/1","F","1980/1/1","M","S","1","","","",""
"##LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","ID","83709","1980/1/1","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"##LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","ID","83709","1980/1/1","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"##LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","ID","83709","1980/1/1","F","","","","","2000/1/1","M","C","2"
"##LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","ID","83709","1980/1/1","F","","","","","1997/1/1","M","C","2"
"LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","MN","55106","1980/1/1","F","","","","","","","",""
"LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","MN","55106","1980/1/1","F","1980/1/1","M","S","1","","","",""
"LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","MN","55106","1980/1/1","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","MN","55106","1980/1/1","F","","","","","2000/1/1","M","C","2"
"LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","MN","55106","1980/1/1","F","","","","","1997/1/1","M","C","2"
"##LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","NE","68104","1980/1/1","F","","","","","","","",""
"##LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","NE","68104","1980/1/1","F","1980/1/1","M","S","1","","","",""
"##LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","NE","68104","1980/1/1","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"##LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","NE","68104","1980/1/1","F","","","","","2000/1/1","M","C","2"
"##LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","NE","68104","1980/1/1","F","","","","","1997/1/1","M","C","2"
"LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","OR","97229","1980/1/1","F","","","","","","","",""
"LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","OR","97229","1980/1/1","F","1980/1/1","M","S","1","","","",""
"LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","OR","97229","1980/1/1","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","OR","97229","1980/1/1","F","","","","","2000/1/1","M","C","2"
"LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","OR","97229","1980/1/1","F","","","","","1997/1/1","M","C","2"
"LifeShield","LifeShield Flex 5000/20/8000/750000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","OR","97229","1980/1/1","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
