"provider","Plan_name","quote_testprod_rate","quote_QA_rate","QA_Apply_page_rate","testprod_Apply_page_rate","zipcode","Primary_dob","Primary_gender","Spouse_dob","Spouse_gender","Spouse","Spouse_enable","Child_dob","Child_gender","Child","Child_enable"
"National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","35215","1980/1/1","F","","","","","","","",""
"National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","72209","1980/1/1","F","1980/1/1","M","S","1","","","",""
"National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","85364","1980/1/1","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","20015","1980/1/1","F","","","","","2000/1/1","M","C","2"
"National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","30044","1980/1/1","F","","","","","1997/1/1","M","C","2"
"National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","96818","1980/1/1","F","","","","","","","",""
"National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","83709","1980/1/1","F","1980/1/1","M","S","1","","","",""
"National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","60629","1980/1/1","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","48228","1980/1/1","F","","","","","2000/1/1","M","C","2"
"National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","68104","1980/1/1","F","","","","","1997/1/1","M","C","2"
"National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","89110","1980/1/1","F","","","","","","","",""
"National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","73160","1980/1/1","F","1980/1/1","M","S","1","","","",""
"National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","19120","1980/1/1","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","29223","1980/1/1","F","","","","","2000/1/1","M","C","2"
"National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","79936","1980/1/1","F","","","","","1997/1/1","M","C","2"
"National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","23464","1980/1/1","F","","","","","","","",""
"National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","53215","1980/1/1","F","1980/1/1","M","S","1","","","",""
"National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","35216","1980/1/1","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","60002","1980/1/1","F","","","","","2000/1/1","M","C","2"
"National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","20015","1980/1/1","F","","","","","1997/1/1","M","C","2"
"National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","33186","1980/1/1","F","","","","","","","",""
"National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","33186","1980/1/1","F","1980/1/1","M","S","1","","","",""
"##National General","National General 5000/50/8750/250000","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","33186","1980/1/1","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
