"state","state1","zip","provider","planname","uri","quote_P","confirm_P","start","DOB","dental_collapse","dental_Protector","denta_Guardian","Vision","d1","d2","d3","v1"
"##Alabama","AL","35215","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1985","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}","$17.22/mo","$21.59/mo","$21.59/mo","$14.77/mo"
"##Alabama","AL","35215","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}","$17.22/mo","$21.59/mo","$21.59/mo","$14.77/mo"
"##Alaska","AK","99504","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}","","","",""
"##Alaska","AK","99504","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}","","","",""
"##Arkansas","AR","72209","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}","","","",""
"##Arkansas","AR","72209","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}","","","",""
"##Arizona","AZ","85364","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}","","","",""
"##California","CA","90011","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}","","","",""
"##Colorado","CO","80219","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}","","","",""
"##Connecticut","CT","06606","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}","","","",""
"##Delaware","DE","19805","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}","","","",""
"##District Of Columbia","DC","20015","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}","","","",""
"##Florida","FL","33186","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}","","","",""
"##Georgia","GA","30044","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}","","","",""
"##Hawaii","HI","96818","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}","","","",""
"##Iowa","IA","50317","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}","","","",""
"##Idaho","ID","83709","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}","","","",""
"Illinois","IL","60629","Companion Protect","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}","$16.90/mo","$22.35/mo","$36.25/mo","$14.57/mo"
"##Indiana","IN","46227","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}","","","",""
"##Kansas","KS","66062","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}","","","",""
"##Kentucky","KY","40214","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}","","","",""
"##Louisiana","LA","70816","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}","","","",""
"##Massachusetts","MA","02128","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","${dentalcollapse}","${dentalProtector}","${dentaGuardian}","${foundationvision}","","","",""
"##Maryland","MD","21215","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","","","","","",""
"##Maine","ME","04401","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","","","","","",""
"##Michigan","MI","48228","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","","","","","",""
"##Minnesota","MN","55106","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","","","","","",""
"##Missouri","MO","63129","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","","","","","",""
"##Mississippi","MS","39503","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","","","","","",""
"##Montana","MT","59102","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","","","","","",""
"##North Carolina","NC","28269","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","","","","","",""
"##North Dakota","ND","58103","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","","","","","",""
"##Nebraska","NE","68104","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","","","","","",""
"##New Hampshire","NH","03103","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","","","","","",""
"##New Jersey","NJ","08701","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","","","","","",""
"##New Mexico","NM","87121","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","","","","","",""
"##Nevada","NV","89110","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","","","","","",""
"##New York","NY","11226","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","","","","","",""
"##Ohio","OH","43228","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","","","","","",""
"##Oklahoma","OK","73160","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","","","","","",""
"##Oregon","OR","97229","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","","","","","",""
"##Pennsylvania","PA","19120","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","","","","","",""
"##Rhode Island","RI","02909","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","","","","","",""
"##South Carolina","SC","29223","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","","","","","",""
"##South Dakota","SD","57106","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","","","","","",""
"##Tennessee","TN","37013","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","","","","","",""
"##Texas","TX","79936","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","","","","","",""
"##Utah","UT","84120","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","","","","","",""
"##Virginia","VA","23464","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","","","","","",""
"##Vermont","VT","05401","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","","","","","",""
"##Washington","WA","98115","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","","","","","",""
"##Wisconsin","WI","53215","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","","","","","",""
"##West Virginia","WV","25302","HCC Advantage","${planname}","${uri}","${quote_P}","${review_P}","10/01/2015","12/21/1969","","","","","","","",""
