"state","zipcode","DOB","state1"
"Alabama","35215","03/06/1995","AL"
"##Arkansas","72209","03/06/1995","AR"
"##Arizona","85364","03/06/1995","AZ"
"##Colorado","80219","03/06/1995","CO"
"##Connecticut","06606","03/06/1995","CT"
"##District Of Columbia","20015","03/06/1995","DC"
"##Florida","33186","03/06/1995","FL"
"##Georgia","30044","03/06/1995","GA"
"##Hawaii","96818","03/06/1995","HI"
"##Idaho","83709","03/06/1995","ID"
"Illinois","60629","03/06/1995","IL"
"##Indiana","46227","03/06/1995","IN"
"##Indiana","50317","03/06/1995","IA"
"##Kansas","66062","03/06/1995","KS"
"##Kentucky","40214","03/06/1995","KY"
"##Louisiana","70816","03/06/1995","LA"
"##Maine","04401","03/06/1995","ME"
"##Maine","21215","03/06/1995","MD"
"##Michigan","48228","03/06/1995","MI"
"##Missouri","63129","03/06/1995","MO"
"##Mississippi","39503","03/06/1995","MS"
"##Montana","59102","03/06/1995","MT"
"##North Carolina","68104","03/06/1995","NE"
"##North Carolina","87121","03/06/1995","NM"
"##North Carolina","89110","03/06/1995","NV"
"##North Carolina","28269","03/06/1995","NC"
"North Dakota","58103","03/06/1995","ND"
"##Ohio","43228","03/06/1995","OH"
"##Oklahoma","73160","03/06/1995","OK"
"##Oregon","97229","03/06/1995","OR"
"##Pennsylvania","19120","03/06/1995","PA"
"##South Carolina","29223","03/06/1995","SC"
"##South Dakota","57106","03/06/1995","SD"
"##Tennessee","37013","03/06/1995","TN"
"##Texas","79936","03/06/1995","TX"
"##Utah","84120","03/06/1995","UT"
"##Virginia","23464","03/06/1995","VA"
"##Wisconsin","25302","03/06/1995","WV"
"##Wisconsin","53215","03/06/1995","WI"
"##Wyoming","82001","03/06/1995","WY"
